ensembl_gene_id,hgnc_symbol,chromosome_name,start_region,end_region
ENSG00000007171,NOS2,17,26078792,26132525
ENSG00000108691,CCL2,17,32577304,32589222
"ENSG00000109062,ENSG00000172794,ENSG00000186074","SLC9A3R1,RAB37,CD300LF",17,72661717,72770492
"ENSG00000168610,ENSG00000126561","STAT3,STAT5A",17,40434565,40545586
ENSG00000184557,SOCS3,17,76347864,76361158
"ENSG00000161326,rs712039","DUSP14,rs712039",17,35844937,35878603
ENSG00000070540,WIPI1,17,66412089,66458654
ENSG00000008517,IL32,16,3110298,3136908
ENSG00000103522,IL21R,16,27408483,27467115
"ENSG00000140945,rs12386026","CDH13,rs12386026",16,82655408,83835204
ENSG00000140968,IRF8,16,85927409,85961215
ENSG00000167207,NOD2,16,50722514,50771988
ENSG00000167984,NLRC3,16,3584033,3632401
ENSG00000168404,MLKL,16,74700753,74739858
ENSG00000169344,UMOD,16,20339374,20372623
ENSG00000172382,PRSS27,16,2757419,2775552
ENSG00000185338,SOCS1,16,11343262,11355036
ENSG00000199299,RNA5SP430,16,75889946,75900055
rs1948632,rs1948632,16,75986446,75996446
"ENSG00000010610,ENSG00000089692,ENSG00000110811","CD4,LAG3,LEPREL2",12,6876678,6954018
ENSG00000067182,TNFRSF1A,12,6432923,6456280
ENSG00000089041,P2RX7,12,121565622,121628876
ENSG00000090376,IRAK3,12,66577659,66653402
ENSG00000111424,VDR,12,48230320,48341831
ENSG00000111537,IFNG,12,68543548,68558527
ENSG00000111669,TPI1,12,6971283,6985112
ENSG00000127318,IL22,12,68637022,68652387
ENSG00000139725,RHOF,12,122210664,122246309
"ENSG00000173391,ENSG00000165685","OLR1,TMEM52B",12,10305902,10349400
ENSG00000205846,CLEC6A,12,8603522,8635926
ENSG00000213809,KLRK1,12,10519952,10549473
ENSG00000165891,E2F7,12,77410027,77464360
rs6538140,rs6538140,12,77733005,77743005
rs4842407,rs4842407,12,79196073,79206073
ENSG00000011677,GABRA3,X,151329706,151624830
ENSG00000036473,OTC,X,38206798,38285703
ENSG00000102172,SMS,X,21953691,22030798
ENSG00000102290,PCDH11X,X,91029260,91883229
ENSG00000126759,CFP,X,47478612,47494704
ENSG00000165168,CYBB,X,37634264,37677714
rs5928363,rs5928363,X,33779063,33789063
rs139956886,rs139956886,X,142837119,142847119
ENSG00000012223,LTF,3,46472136,46531724
ENSG00000114737,CISH,3,50638921,50654262
ENSG00000144455,SUMF1,3,3737498,4513965
"ENSG00000160791,ENSG00000121807","CCR5,CCR2",3,46390225,46422697
ENSG00000163655,GMPS,3,155583325,155666815
ENSG00000183813,CCR4,3,32988066,33002841
ENSG00000239732,TLR9,3,52250096,52278183
ENSG00000069849,ATP1B3,3,141589966,141650356
ENSG00000168811,IL12A,3,159701537,159718806
ENSG00000078081,LAMP3,3,182835001,182886627
ENSG00000230465,VENTXP4,3,26383172,26394129
rs2202157,rs2202157,3,26538420,26548420
rs73226617,rs73226617,3,141395653,141405653
"ENSG00000018280,ENSG00000144579","SLC11A1,CTDSP1",2,219241752,219275664
"ENSG00000082898,rs6545883","XPO1,rs6545883",2,61699984,61777257
ENSG00000115008,IL1A,2,113526492,113547167
ENSG00000115009,CCL20,2,228673558,228687272
"ENSG00000115594,ENSG00000115598","IL1R1,IL1RL2",2,102676004,102861462
"ENSG00000116117,rs2335704","PARD3B,rs2335704",2,205405516,206489886
ENSG00000124003,MOGAT1,2,223531505,223579649
ENSG00000125538,IL1B,2,113582328,113599480
"ENSG00000127838,ENSG00000179921","PNKD,GPBAR1",2,219119219,219216516
ENSG00000178562,CD28,2,204566198,204608635
ENSG00000197713,RPE,2,210862289,210891300
ENSG00000207192,RNU6-649P,2,4987867,4997973
rs1075309,rs1075309,2,5248598,5258598
ENSG00000022355,GABRA1,5,161269197,161331975
ENSG00000040731,CDH10,5,24482209,24650087
ENSG00000113161,HMGCR,5,74627154,74662929
ENSG00000113327,GABRG2,5,161489546,161587542
"ENSG00000113520,ENSG00000131437","IL4,KIF3A",5,132004678,132078330
ENSG00000113580,NR3C1,5,142652496,142820077
ENSG00000135077,HAVCR2,5,156507843,156574880
ENSG00000145649,GZMA,5,54393476,54411080
ENSG00000164400,CSF2,5,131404483,131416859
ENSG00000170458,CD14,5,140006313,140018286
ENSG00000170571,EMB,5,49687026,49744082
ENSG00000181104,F2R,5,76006868,76036606
ENSG00000228716,DHFR,5,79917047,79955802
ENSG00000237693,IRGM,5,150221085,150285298
"ENSG00000178722,rs1501847","C5orf64,rs1501847",5,60928535,61060557
ENSG00000164332,UBLCP1,5,158685089,158718044
rs2894967,rs2894967,5,6895466,6905466
"rs931924,rs11958933","rs931924,rs11958933",5,25317034,25328707
rs251891,rs251891,5,115045362,115055362
rs11960504,rs11960504,5,125018190,125028190
ENSG00000026025,VIM,10,17265258,17284592
ENSG00000151033,LYZL2,10,30895718,30923691
ENSG00000165471,MBL2,10,54520140,54536460
"ENSG00000183621,rs1417569","ZNF438,rs1417569",10,31096743,31325866
ENSG00000043514,TRIT1,1,40301723,40354183
ENSG00000049249,TNFRSF9,1,7974907,8005926
ENSG00000073756,PTGS2,1,186635923,186654559
ENSG00000081985,IL12RB2,1,67768047,67867583
"ENSG00000116688,ENSG00000083444,ENSG00000116685,ENSG00000116691,rs4240897","MFN2,PLOD1,KIAA2013,MIIP,rs4240897",1,11974648,12097102
ENSG00000122223,CD244,1,160794950,160837692
ENSG00000134243,SORT1,1,109847192,109945573
ENSG00000135821,GLUL,1,182345839,182366341
ENSG00000136634,IL10,1,206935947,206950839
ENSG00000142657,PGD,1,10453649,10485201
ENSG00000142798,HSPG2,1,22143738,22268790
ENSG00000158477,CD1A,1,158218927,158233059
"ENSG00000160716,ENSG00000160710","CHRNB2,ADAR",1,154535257,154605475
ENSG00000162426,SLC45A1,1,8372886,8409227
ENSG00000162711,NLRP3,1,247574458,247617410
